Tarih;Konya - Karkent;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
11.02.2021 09:00:56;81,27;7,09;1.207,81;47,17;154,12;3,40
11.02.2021 10:00:56;97,08;28,63;1.627,32;68,09;209,03;5,65
11.02.2021 11:00:56;183,27;48,67;1.799,02;93,79;226,62;23,93
11.02.2021 12:00:56;284,74;40,14;1.334,44;86,89;182,42;26,51
11.02.2021 13:00:56;237,52;19,96;672,31;47,99;96,14;30,02
11.02.2021 14:00:56;113,24;7,35;497,20;27,44;51,22;33,31
11.02.2021 15:00:56;50,75;3,32;456,71;24,55;43,58;33,60
11.02.2021 16:00:56;30,09;2,50;436,20;25,21;43,57;33,12
11.02.2021 17:00:56;22,47;2,39;422,74;23,99;41,43;32,61
11.02.2021 18:00:56;22,23;2,53;442,43;28,84;45,56;31,49
11.02.2021 19:00:56;24,52;3,57;525,77;41,98;58,01;28,47
11.02.2021 20:00:56;29,67;5,68;645,60;62,31;81,23;9,91
11.02.2021 21:00:56;38,30;18,73;724,66;73,84;98,15;8,68
11.02.2021 22:00:56;55,12;25,70;686,80;62,27;82,50;26,28
11.02.2021 23:00:56;63,42;15,17;602,24;41,12;53,08;29,47
12.02.2021 00:00:56;43,79;9,43;561,09;32,27;42,68;29,61
12.02.2021 01:00:56;27,10;11,76;588,45;36,91;47,32;25,94
12.02.2021 02:00:56;32,62;21,17;606,53;41,01;51,04;22,76
12.02.2021 03:00:56;42,95;17,21;543,62;31,59;40,83;10,04
12.02.2021 04:00:56;38,46;7,87;495,00;21,57;30,34;26,89
12.02.2021 05:00:56;25,18;5,97;442,56;19,83;27,94;27,35
12.02.2021 06:00:56;24,97;4,89;387,09;18,77;25,98;27,48
12.02.2021 07:00:56;28,53;5,24;388,22;20,56;27,88;26,74
12.02.2021 08:00:56;26,95;7,27;531,69;39,37;55,46;23,53
12.02.2021 09:00:56;37,60;8,69;778,95;62,34;107,57;20,10
12.02.2021 10:00:56;55,13;6,97;717,56;56,54;99,30;6,61
12.02.2021 11:00:56;58,08;4,54;467,36;37,36;54,18;25,04
12.02.2021 12:00:56;52,73;3,62;378,34;26,93;38,79;26,35
12.02.2021 13:00:56;52,88;3,76;378,95;25,12;35,90;26,86
12.02.2021 14:00:56;53,26;3,68;391,36;26,85;37,58;26,83
12.02.2021 15:00:56;48,41;3,15;393,02;29,34;39,14;26,00
12.02.2021 16:00:56;42,68;2,36;372,79;29,73;38,11;26,27
12.02.2021 17:00:56;37,98;1,89;349,62;29,55;36,68;26,51
12.02.2021 18:00:56;33,40;2,03;356,37;31,99;38,55;25,91
12.02.2021 19:00:56;30,49;3,27;393,80;37,72;43,86;24,75
12.02.2021 20:00:56;29,40;5,58;466,33;48,72;54,70;22,83
12.02.2021 21:00:56;28,95;7,83;651,45;69,45;93,61;19,51
12.02.2021 22:00:56;32,95;6,55;606,28;61,05;87,62;19,52
12.02.2021 23:00:56;36,18;4,58;629,44;45,18;56,64;4,71
13.02.2021 00:00:56;32,67;4,47;631,64;43,20;54,42;4,77
13.02.2021 01:00:56;28,78;3,60;433,49;32,90;42,07;6,43
13.02.2021 02:00:56;26,48;2,72;637,54;40,96;51,58;4,45
13.02.2021 03:00:56;28,71;3,19;667,74;43,73;53,97;4,48
13.02.2021 04:00:56;34,23;4,12;546,73;35,92;42,84;5,54
13.02.2021 05:00:56;34,20;4,42;529,53;33,88;40,36;5,25
13.02.2021 06:00:56;30,99;4,21;487,76;30,12;40,33;5,58
13.02.2021 07:00:56;31,20;4,77;587,39;39,84;58,44;3,16
13.02.2021 08:00:56;33,33;5,44;836,70;52,61;87,21;0,24
13.02.2021 09:00:56;34,92;7,10;1.172,52;59,62;153,20;0,28
13.02.2021 10:00:56;40,59;9,44;1.139,38;57,32;152,25;2,91
13.02.2021 11:00:56;49,07;8,86;733,90;37,51;70,34;37,28
13.02.2021 12:00:56;48,95;8,42;504,30;24,22;39,45;39,87
13.02.2021 13:00:56;44,61;13,77;452,36;23,85;39,77;40,83
13.02.2021 14:00:56;43,38;17,19;421,12;21,67;39,99;41,86
13.02.2021 15:00:56;39,17;11,57;391,73;19,19;34,79;42,55
13.02.2021 16:00:56;32,19;6,29;383,04;21,52;36,04;42,18
13.02.2021 17:00:56;26,77;4,65;373,39;24,49;39,10;42,03
13.02.2021 18:00:56;22,34;3,86;363,86;28,94;41,16;41,92
13.02.2021 19:00:56;19,05;5,25;528,14;50,97;64,75;39,37
13.02.2021 20:00:56;27,32;6,87;662,31;78,00;97,01;34,82
13.02.2021 21:00:56;48,50;10,25;765,50;85,02;125,36;31,56
13.02.2021 22:00:56;64,26;9,83;740,96;75,92;120,19;2,46
13.02.2021 23:00:56;67,90;5,79;588,07;63,98;87,72;4,38
14.02.2021 00:00:56;61,98;5,17;571,26;56,52;73,83;4,83
14.02.2021 01:00:56;51,30;4,81;526,51;53,96;67,45;5,35
14.02.2021 02:00:56;42,26;4,72;522,12;60,18;72,43;5,37
14.02.2021 03:00:56;38,35;4,95;649,20;63,64;76,32;5,17
14.02.2021 04:00:56;38,10;5,21;721,62;65,92;85,68;4,24
14.02.2021 05:00:56;35,50;5,29;742,37;68,35;93,76;3,25
14.02.2021 06:00:56;34,02;8,11;1.006,38;67,24;94,93;3,17
14.02.2021 07:00:56;37,41;13,34;1.415,84;60,64;83,44;4,41
14.02.2021 08:00:56;43,99;13,77;1.651,68;59,85;100,54;3,95
14.02.2021 09:00:56;53,02;11,20;1.382,48;60,54;121,49;3,40
14.02.2021 10:00:56;60,26;13,68;978,91;53,07;100,93;36,29
14.02.2021 11:00:56;65,03;16,62;888,39;48,97;89,63;39,98
14.02.2021 12:00:56;68,48;19,62;740,89;40,76;70,10;43,17
14.02.2021 13:00:56;66,07;15,41;538,82;29,63;45,18;45,01
14.02.2021 14:00:56;58,15;7,35;455,25;24,92;36,56;45,33
14.02.2021 15:00:56;49,06;5,51;424,83;23,38;34,63;45,13
14.02.2021 16:00:56;40,02;6,22;418,25;23,24;33,70;45,01
14.02.2021 17:00:56;33,14;5,48;424,09;24,00;33,18;44,73
14.02.2021 18:00:56;28,10;3,32;433,42;26,71;34,96;43,94
14.02.2021 19:00:56;22,13;4,17;433,30;29,07;35,78;43,22
14.02.2021 20:00:56;18,46;5,87;431,77;29,76;35,44;43,04
14.02.2021 21:00:56;19,56;6,49;405,60;28,26;33,35;43,35
14.02.2021 22:00:56;19,98;5,97;385,16;26,94;31,53;43,50
14.02.2021 23:00:56;17,38;5,24;374,09;27,24;31,64;43,36
15.02.2021 00:00:56;14,75;5,45;377,47;27,64;31,66;43,09
15.02.2021 01:00:56;13,55;7,89;497,16;30,48;34,27;41,23
15.02.2021 02:00:56;18,92;19,29;1.148,01;50,25;56,28;36,59
15.02.2021 03:00:56;32,80;21,83;1.379,23;59,31;66,68;35,27
15.02.2021 04:00:56;45,50;14,84;862,29;44,89;51,00;6,89
15.02.2021 05:00:56;48,61;11,01;625,21;33,27;38,73;8,58
15.02.2021 06:00:56;43,82;8,44;635,40;30,30;36,09;9,42
15.02.2021 07:00:56;37,00;7,35;588,62;31,96;38,18;9,43
15.02.2021 08:00:56;31,10;6,02;582,09;40,08;52,94;7,88
15.02.2021 09:00:56;31,64;7,36;888,96;55,26;99,16;4,37
15.02.2021 10:00:56;45,76;10,18;874,54;59,69;113,28;4,07
15.02.2021 11:00:56;62,66;9,26;561,30;46,01;75,34;6,84
15.02.2021 12:00:56;66,44;7,21;505,37;34,75;54,90;18,58
15.02.2021 13:00:56;64,21;6,21;495,44;35,54;55,58;18,91
15.02.2021 14:00:56;61,50;5,56;493,02;35,78;55,60;18,37
15.02.2021 15:00:56;54,51;5,45;502,92;38,67;57,31;17,41
15.02.2021 16:00:56;48,89;4,52;479,76;37,15;54,88;17,75
15.02.2021 17:00:56;48,99;3,72;472,63;34,13;51,10;17,92
15.02.2021 18:00:56;47,82;3,15;475,09;38,39;53,79;17,41
15.02.2021 19:00:56;43,21;2,73;477,88;43,89;59,63;16,91
15.02.2021 20:00:56;42,01;2,55;463,76;45,65;62,19;6,61
15.02.2021 21:00:56;43,99;2,37;437,58;43,48;60,14;7,14
15.02.2021 22:00:56;43,70;2,11;426,69;40,07;54,57;7,37
15.02.2021 23:00:56;41,99;1,90;402,64;36,45;47,35;7,30
16.02.2021 00:00:56;40,81;1,52;406,54;37,00;46,30;6,99
16.02.2021 01:00:56;36,75;1,38;400,01;39,17;48,19;6,81
16.02.2021 02:00:56;30,29;1,52;447,62;36,97;45,38;22,25
16.02.2021 03:00:56;26,07;1,53;437,57;29,40;36,47;27,04
16.02.2021 04:00:56;24,34;1,63;350,80;22,42;28,27;26,39
16.02.2021 05:00:56;22,65;1,65;366,73;21,61;26,96;25,42
16.02.2021 06:00:56;20,37;1,68;377,68;21,33;26,25;25,31
16.02.2021 07:00:56;16,08;1,71;381,08;20,70;25,36;25,27
16.02.2021 08:00:56;14,04;1,83;409,05;23,60;30,63;24,54
16.02.2021 09:00:56;16,05;2,63;461,81;34,00;44,33;23,58
16.02.2021 10:00:56;20,18;5,00;531,02;41,35;55,29;23,40
16.02.2021 11:00:56;26,79;7,72;551,42;40,13;54,56;23,97
16.02.2021 12:00:56;29,76;8,57;535,19;36,68;53,12;24,30
16.02.2021 13:00:56;28,73;7,30;511,55;32,72;48,75;24,90
16.02.2021 14:00:56;27,95;5,62;494,25;31,34;41,87;25,23
16.02.2021 15:00:56;27,28;4,80;494,44;32,05;41,71;25,11
16.02.2021 16:00:56;23,11;4,24;494,25;31,64;42,72;25,25
16.02.2021 17:00:56;19,62;3,80;518,04;35,11;45,84;24,91
16.02.2021 18:00:56;19,95;3,22;563,73;43,97;53,68;23,81
16.02.2021 19:00:56;18,69;2,58;581,41;49,97;61,66;23,10
16.02.2021 20:00:56;16,33;2,18;547,67;52,30;64,80;22,73
16.02.2021 21:00:56;16,56;1,82;505,33;48,52;59,20;22,52
16.02.2021 22:00:56;19,90;1,63;548,06;47,23;55,62;22,12
16.02.2021 23:00:56;22,51;1,49;605,53;53,12;61,43;6,37
17.02.2021 00:00:56;20,32;1,38;605,62;50,82;58,74;6,93
17.02.2021 01:00:56;17,22;1,55;527,15;43,69;49,73;7,79
17.02.2021 02:00:56;16,33;1,88;414,66;37,15;42,08;23,78
17.02.2021 03:00:56;16,84;1,91;388,63;30,41;34,39;24,14
17.02.2021 04:00:56;17,64;1,79;359,67;25,26;28,56;24,06
17.02.2021 05:00:56;21,11;1,74;323,01;20,39;23,19;24,40
17.02.2021 06:00:56;24,84;1,70;319,63;19,28;21,88;24,17
17.02.2021 07:00:56;21,55;1,65;319,03;19,18;21,74;24,59
17.02.2021 08:00:56;15,26;1,75;331,96;21,67;24,81;24,46
17.02.2021 09:00:56;11,90;2,10;375,24;28,63;33,60;23,83
17.02.2021 10:00:56;12,22;3,79;413,75;31,27;38,61;23,97
17.02.2021 11:00:56;15,63;5,83;422,27;30,54;40,87;24,14
17.02.2021 12:00:56;19,64;6,40;404,91;28,83;40,01;24,78
17.02.2021 13:00:56;22,85;5,87;376,54;25,66;35,56;25,07
17.02.2021 14:00:56;24,01;5,19;359,85;25,49;34,81;25,74
17.02.2021 15:00:56;23,03;5,00;339,65;27,64;36,88;26,57
17.02.2021 16:00:56;24,78;4,75;332,16;29,97;42,25;26,80
17.02.2021 17:00:56;27,95;4,65;351,40;38,19;53,93;25,96
17.02.2021 18:00:56;26,08;4,45;364,12;44,58;57,47;25,27
17.02.2021 19:00:56;23,13;4,48;385,51;45,77;54,55;25,33
17.02.2021 20:00:56;23,81;4,38;419,34;53,05;62,57;24,67
17.02.2021 21:00:56;23,02;4,23;420,81;54,50;66,63;24,60
17.02.2021 22:00:56;21,73;4,24;415,89;45,86;55,58;24,69
17.02.2021 23:00:56;22,53;4,71;410,65;39,09;44,74;24,51
18.02.2021 00:00:56;21,92;5,75;433,81;38,77;43,69;24,28
18.02.2021 01:00:56;19,69;4,97;483,36;44,81;49,00;23,35
18.02.2021 02:00:56;18,70;17,75;637,45;62,95;72,56;20,91
18.02.2021 03:00:56;25,78;19,65;793,31;70,62;83,14;5,12
18.02.2021 04:00:56;37,82;11,13;856,35;62,14;70,03;6,05
18.02.2021 05:00:56;41,25;12,04;976,42;59,28;66,32;5,91
18.02.2021 06:00:56;41,28;10,21;1.021,98;57,65;66,04;5,55
18.02.2021 07:00:56;45,15;9,30;1.252,19;60,78;74,07;5,19
18.02.2021 08:00:56;51,95;7,33;1.414,06;75,15;108,35;4,49
18.02.2021 09:00:56;63,23;8,68;1.726,58;88,82;183,74;4,76
18.02.2021 10:00:56;81,28;11,71;1.855,83;83,41;192,06;7,33
18.02.2021 11:00:56;104,45;12,00;1.294,09;62,63;119,48;30,49
18.02.2021 12:00:56;117,69;21,85;981,72;52,54;86,90;32,17
18.02.2021 13:00:56;112,56;19,63;796,29;44,20;70,30;33,33
18.02.2021 14:00:56;92,60;6,62;567,83;30,39;46,60;34,32
18.02.2021 15:00:56;70,55;8,32;489,52;28,65;41,91;35,04
18.02.2021 16:00:56;56,99;10,73;448,74;33,48;49,30;35,08
18.02.2021 17:00:56;49,96;8,17;405,96;38,83;58,28;35,06
18.02.2021 18:00:56;44,43;11,88;372,88;42,89;64,09;34,69
18.02.2021 19:00:56;41,26;20,64;430,41;53,62;81,28;32,99
18.02.2021 20:00:56;42,00;20,85;504,21;58,32;84,54;31,90
18.02.2021 21:00:56;43,38;22,33;557,37;52,20;65,91;31,10
18.02.2021 22:00:56;44,61;20,21;618,52;50,42;59,03;30,57
18.02.2021 23:00:56;45,37;14,01;697,98;53,38;64,39;29,53
19.02.2021 00:00:56;43,78;13,02;677,03;63,68;74,86;7,79
19.02.2021 01:00:56;40,66;13,18;586,69;63,83;71,21;7,76
19.02.2021 02:00:56;39,11;23,67;618,10;60,65;66,67;7,73
19.02.2021 03:00:56;40,80;26,49;649,14;55,74;61,45;8,10
19.02.2021 04:00:56;45,17;12,54;587,65;43,10;48,85;9,26
19.02.2021 05:00:56;47,44;5,66;478,05;31,68;37,06;9,88
19.02.2021 06:00:56;43,20;5,73;435,75;28,83;33,60;10,32
19.02.2021 07:00:56;36,28;6,70;451,54;30,69;35,43;10,18
19.02.2021 08:00:56;32,51;5,64;496,22;34,98;42,41;9,81
19.02.2021 09:00:56;31,25;9,63;604,82;48,22;61,71;9,01
19.02.2021 10:00:56;35,59;26,73;753,56;66,55;95,13;8,33
19.02.2021 11:00:56;52,38;30,78;826,53;68,56;104,15;9,22
19.02.2021 12:00:56;73,80;25,29;807,10;63,34;94,92;30,41
19.02.2021 13:00:56;85,40;18,44;656,77;54,63;80,47;31,44
19.02.2021 14:00:56;81,05;9,85;470,66;39,92;55,05;32,82
19.02.2021 15:00:56;65,95;7,17;428,60;36,46;48,13;33,59
19.02.2021 16:00:56;50,71;5,20;387,96;40,25;52,88;34,12
19.02.2021 17:00:56;40,37;5,05;369,75;42,57;55,33;33,52
19.02.2021 18:00:56;33,89;5,16;396,92;47,63;61,15;32,34
19.02.2021 19:00:56;30,15;4,69;406,84;51,39;64,01;32,04
19.02.2021 20:00:56;28,72;5,56;484,14;60,83;73,70;30,43
19.02.2021 21:00:56;27,68;7,09;569,55;68,01;80,55;29,03
19.02.2021 22:00:56;29,76;7,61;624,49;71,34;85,61;28,18
19.02.2021 23:00:56;31,13;6,78;608,34;65,57;78,18;8,39
20.02.2021 00:00:56;28,37;7,04;584,37;53,62;61,74;9,20
20.02.2021 01:00:56;27,39;7,23;718,00;58,21;70,26;7,77
20.02.2021 02:00:56;27,44;6,88;754,04;57,75;69,59;7,51
20.02.2021 03:00:56;26,79;7,13;718,07;49,13;56,47;8,50
20.02.2021 04:00:56;24,66;6,70;751,31;46,76;53,80;8,13
20.02.2021 05:00:56;22,44;5,37;756,85;50,59;57,79;6,89
20.02.2021 06:00:56;24,74;4,86;854,38;53,97;61,31;6,19
20.02.2021 07:00:56;26,52;5,28;986,53;58,68;71,49;5,45
20.02.2021 08:00:56;30,23;4,85;1.058,74;64,75;90,72;4,15
20.02.2021 09:00:56;40,25;10,42;1.296,24;66,32;115,32;4,47
20.02.2021 10:00:56;48,59;13,94;1.285,39;61,48;110,10;47,24
20.02.2021 11:00:56;50,13;10,44;890,71;46,89;74,55;50,45
20.02.2021 12:00:56;46,04;10,95;710,52;39,88;62,34;51,61
20.02.2021 13:00:56;41,61;11,85;643,28;38,34;58,63;52,26
20.02.2021 14:00:56;39,79;13,99;538,58;32,08;48,77;53,13
20.02.2021 15:00:56;40,19;14,16;436,80;26,60;37,22;52,94
20.02.2021 16:00:56;38,79;9,81;355,90;23,30;29,12;52,95
20.02.2021 17:00:56;36,47;8,42;324,13;24,24;34,98;53,64
20.02.2021 18:00:56;36,08;6,92;321,03;30,36;44,51;53,42
20.02.2021 19:00:56;35,31;5,71;349,99;36,00;45,92;52,50
20.02.2021 20:00:56;33,59;8,57;460,35;40,01;46,17;51,75
20.02.2021 21:00:56;34,36;10,37;570,65;44,81;50,77;50,69
20.02.2021 22:00:56;39,22;9,85;577,02;53,49;62,78;48,12
20.02.2021 23:00:56;44,77;11,95;633,11;63,52;76,96;45,70
21.02.2021 00:00:56;47,61;13,92;756,88;58,46;69,93;6,98
21.02.2021 01:00:56;47,87;12,07;778,28;47,99;54,62;9,38
21.02.2021 02:00:56;49,08;10,09;719,01;55,99;67,99;8,56
21.02.2021 03:00:56;50,70;8,88;691,50;63,15;77,06;7,73
21.02.2021 04:00:56;50,33;8,17;720,05;64,90;79,46;6,84
21.02.2021 05:00:56;51,03;6,95;733,37;60,87;74,83;5,85
21.02.2021 06:00:56;54,18;4,75;678,31;46,33;53,96;6,41
21.02.2021 07:00:56;55,56;3,26;621,72;39,95;48,45;6,69
21.02.2021 08:00:56;54,05;2,69;634,20;44,19;60,54;46,16
21.02.2021 09:00:56;51,38;5,79;740,06;48,40;67,64;46,71
21.02.2021 10:00:56;47,70;8,16;697,12;40,67;54,22;49,81
21.02.2021 11:00:56;43,36;6,16;525,95;31,84;42,13;52,53
21.02.2021 12:00:56;39,66;3,86;458,35;28,91;38,04;53,69
21.02.2021 13:00:56;36,56;2,47;422,05;27,87;37,66;54,12
21.02.2021 14:00:56;33,28;2,81;395,49;28,32;39,94;54,80
21.02.2021 15:00:56;31,24;3,86;370,01;30,74;42,83;55,47
21.02.2021 16:00:56;31,33;3,45;340,12;32,52;45,17;55,72
21.02.2021 17:00:56;31,10;2,53;325,61;34,37;46,44;55,53
21.02.2021 18:00:56;30,42;2,23;324,88;34,51;45,94;54,98
21.02.2021 19:00:56;29,57;4,59;342,50;35,56;45,31;54,48
21.02.2021 20:00:56;27,63;8,15;400,44;47,59;62,33;52,11
21.02.2021 21:00:56;26,70;7,68;438,62;60,83;82,98;49,67
21.02.2021 22:00:56;28,65;5,51;562,79;64,59;82,83;49,15
21.02.2021 23:00:56;32,30;6,42;821,87;79,95;136,07;47,15
22.02.2021 00:00:56;38,73;10,00;938,89;90,10;178,20;5,09
22.02.2021 01:00:56;51,78;12,51;992,76;81,18;165,99;4,52
22.02.2021 02:00:56;73,96;10,03;1.015,05;71,42;138,94;4,13
22.02.2021 03:00:56;92,09;7,23;971,60;61,89;94,81;4,39
22.02.2021 04:00:56;93,66;5,35;842,21;54,97;75,26;5,39
22.02.2021 05:00:56;86,28;3,27;728,35;49,67;65,42;5,80
22.02.2021 06:00:56;74,02;2,54;770,12;49,17;65,24;5,04
22.02.2021 07:00:56;63,42;2,27;831,60;52,31;69,77;5,10
22.02.2021 08:00:56;61,80;2,80;1.148,12;60,71;109,19;5,11
22.02.2021 09:00:56;68,59;16,07;1.861,07;78,75;219,16;4,88
22.02.2021 10:00:56;130,63;36,39;2.388,14;100,94;310,65;56,47
22.02.2021 11:00:56;221,33;34,36;2.114,60;103,32;269,42;59,33
22.02.2021 12:00:56;221,99;18,93;1.344,08;80,33;156,45;62,46
22.02.2021 13:00:56;152,98;9,86;821,76;51,27;80,51;-
22.02.2021 14:00:56;96,37;5,63;662,23;40,53;56,64;76,52
22.02.2021 15:00:56;81,19;3,88;509,09;36,45;47,93;71,98
22.02.2021 16:00:56;80,07;3,16;380,06;31,90;42,37;71,79
22.02.2021 17:00:56;67,81;3,10;331,86;35,70;44,74;69,64
22.02.2021 18:00:56;57,92;3,16;341,11;41,37;51,98;60,82
22.02.2021 19:00:56;63,61;4,53;609,94;63,51;87,07;37,08
22.02.2021 20:00:56;91,60;9,90;1.040,41;99,18;162,22;10,48
22.02.2021 21:00:56;127,88;15,96;1.348,29;113,03;219,16;0,80
22.02.2021 22:00:56;145,12;20,24;1.429,34;108,18;228,08;0,84
22.02.2021 23:00:56;139,44;24,79;1.300,15;101,06;204,40;1,09
23.02.2021 00:00:56;122,32;32,83;1.334,83;91,41;145,16;6,19
23.02.2021 01:00:56;117,86;31,76;1.626,46;90,74;163,78;9,40
23.02.2021 02:00:56;137,60;19,80;1.889,31;92,84;214,74;7,25
23.02.2021 03:00:56;166,77;14,34;1.656,49;84,52;182,79;6,69
23.02.2021 04:00:56;170,92;10,36;1.215,21;73,66;137,68;6,53
23.02.2021 05:00:56;139,77;7,24;1.070,44;66,57;102,27;7,28
23.02.2021 06:00:56;106,69;6,15;1.249,22;66,61;102,55;7,31
23.02.2021 07:00:56;92,86;6,19;1.417,10;80,09;151,06;6,50
23.02.2021 08:00:56;95,87;7,18;1.658,26;93,14;234,26;6,58
23.02.2021 09:00:56;121,86;12,19;2.158,46;97,74;317,29;7,52
23.02.2021 10:00:56;168,90;62,47;2.160,70;99,69;286,51;12,77
23.02.2021 11:00:56;197,30;99,58;1.594,15;92,03;198,19;22,83
23.02.2021 12:00:56;186,20;51,75;1.037,80;72,85;138,33;39,85
23.02.2021 13:00:56;157,70;9,86;756,96;55,84;94,57;56,57
23.02.2021 14:00:56;122,92;4,27;656,76;49,80;82,58;61,48
23.02.2021 15:00:56;89,41;3,06;565,29;43,89;72,24;63,08
23.02.2021 16:00:56;69,11;2,96;493,58;41,44;66,16;65,54
23.02.2021 17:00:56;55,09;3,10;477,81;43,37;65,06;64,41
23.02.2021 18:00:56;44,71;3,10;470,03;47,28;69,16;60,47
23.02.2021 19:00:56;44,05;4,16;605,13;66,46;102,06;41,10
23.02.2021 20:00:56;64,49;10,07;1.060,61;95,40;175,57;15,68
23.02.2021 21:00:56;97,33;16,50;1.394,06;103,67;212,05;7,52
23.02.2021 22:00:56;112,87;21,32;1.396,28;95,10;196,49;7,56
23.02.2021 23:00:56;115,12;28,58;1.856,35;91,63;266,94;7,91
24.02.2021 00:00:56;130,21;28,95;2.567,40;95,76;354,01;8,49
24.02.2021 01:00:56;163,39;27,49;2.884,63;97,16;374,92;8,33
24.02.2021 02:00:56;200,12;32,37;3.242,14;98,89;422,62;8,44
24.02.2021 03:00:56;233,37;27,75;3.132,81;94,39;431,61;8,29
24.02.2021 04:00:56;249,50;17,43;2.287,27;83,13;325,12;7,21
24.02.2021 05:00:56;235,20;12,72;1.742,16;75,38;235,35;6,66
24.02.2021 06:00:56;201,30;11,11;1.571,14;70,68;196,31;6,50
24.02.2021 07:00:56;165,75;10,79;1.515,93;73,23;199,64;6,15
24.02.2021 08:00:56;141,95;10,41;1.880,85;82,34;257,91;6,61
24.02.2021 09:00:56;139,95;15,42;2.778,17;97,80;351,81;7,29
24.02.2021 10:00:56;153,33;38,35;3.257,43;118,47;382,23;9,23
24.02.2021 11:00:56;175,00;76,27;2.182,29;102,46;259,47;21,73
24.02.2021 12:00:56;188,64;50,67;1.073,48;69,79;146,41;38,92
24.02.2021 13:00:56;170,66;8,65;793,42;56,63;106,62;52,21
24.02.2021 14:00:56;133,16;5,11;609,93;44,95;81,94;63,59
24.02.2021 15:00:56;94,54;4,23;577,91;38,71;70,36;67,35
24.02.2021 16:00:56;65,49;4,09;579,34;39,85;73,97;66,36
24.02.2021 17:00:56;47,74;3,97;557,02;42,65;74,25;65,39
24.02.2021 18:00:56;39,61;3,94;533,19;47,89;73,60;61,41
24.02.2021 19:00:56;39,83;4,35;636,83;65,50;96,78;44,89
24.02.2021 20:00:56;49,90;7,15;946,07;91,01;157,89;20,85
24.02.2021 21:00:56;77,39;14,70;1.557,37;106,73;253,88;8,96
24.02.2021 22:00:56;114,65;24,11;2.452,06;115,86;353,73;8,06
24.02.2021 23:00:56;147,41;32,59;2.956,64;118,75;371,83;8,33
25.02.2021 00:00:56;163,02;35,09;2.927,78;113,09;345,24;8,37
25.02.2021 01:00:56;164,66;22,24;1.909,35;94,32;253,34;9,20
25.02.2021 02:00:56;155,30;10,50;909,15;73,86;132,44;18,62
25.02.2021 03:00:56;124,24;9,37;776,30;60,89;95,33;29,88
25.02.2021 04:00:56;87,86;7,43;754,60;57,59;88,42;29,81
25.02.2021 05:00:56;62,86;6,56;740,36;55,52;83,67;29,85
25.02.2021 06:00:56;49,81;6,03;712,35;51,75;77,91;32,51
25.02.2021 07:00:56;49,63;5,60;753,99;54,24;82,26;31,22
25.02.2021 08:00:56;51,63;5,47;799,48;65,54;99,45;25,91
25.02.2021 09:00:56;49,85;8,22;977,61;82,36;125,82;16,83
25.02.2021 10:00:56;52,96;10,00;907,87;75,68;117,94;23,26
25.02.2021 11:00:56;61,02;8,61;695,43;56,09;88,83;38,04
25.02.2021 12:00:56;64,16;6,19;593,56;45,35;72,78;47,38
25.02.2021 13:00:56;60,11;4,19;481,60;39,83;62,52;51,00
25.02.2021 14:00:56;52,87;4,01;485,13;37,78;60,59;48,63
25.02.2021 15:00:56;44,53;3,83;484,31;37,57;59,63;48,96
25.02.2021 16:00:56;39,47;3,10;398,16;35,94;52,81;54,25
25.02.2021 17:00:56;38,04;2,56;344,56;32,90;49,51;55,65
25.02.2021 18:00:56;39,81;2,46;371,29;36,27;55,48;50,34
25.02.2021 19:00:56;43,72;3,29;455,31;55,29;83,86;37,68
25.02.2021 20:00:56;44,34;4,67;571,62;73,50;109,19;21,18
25.02.2021 21:00:56;40,78;5,03;540,71;68,59;95,74;18,81
25.02.2021 22:00:56;37,81;4,85;525,02;65,17;89,63;20,67
25.02.2021 23:00:56;32,89;4,49;618,78;65,82;90,84;18,93
26.02.2021 00:00:56;27,54;4,66;546,89;59,55;78,56;23,63
26.02.2021 01:00:56;25,80;4,89;469,01;55,16;70,61;26,83
26.02.2021 02:00:56;25,51;4,83;523,94;49,04;63,15;28,54
26.02.2021 03:00:56;28,43;5,00;629,15;52,44;66,82;21,65
26.02.2021 04:00:56;33,81;5,47;804,38;58,62;73,26;12,91
26.02.2021 05:00:56;35,25;5,51;909,45;53,32;66,33;14,65
26.02.2021 06:00:56;34,14;5,36;897,74;51,45;64,23;14,57
26.02.2021 07:00:56;33,08;5,15;968,04;62,45;88,56;8,50
26.02.2021 08:00:56;33,29;4,86;1.189,73;76,92;133,42;3,01
26.02.2021 09:00:56;43,63;6,85;1.540,18;84,93;177,90;3,69
26.02.2021 10:00:56;76,40;12,30;1.810,29;97,64;219,15;7,56
26.02.2021 11:00:56;118,11;10,86;1.247,21;80,66;163,66;21,52
26.02.2021 12:00:56;125,52;4,51;601,26;48,45;79,88;41,69
26.02.2021 13:00:56;97,44;3,02;535,14;38,05;62,56;50,86
26.02.2021 14:00:56;68,86;2,64;489,40;32,61;52,48;54,35
26.02.2021 15:00:56;49,87;2,19;448,59;31,05;48,19;57,32
26.02.2021 16:00:56;39,50;1,95;447,19;36,19;55,19;56,30
26.02.2021 17:00:56;35,32;2,06;445,00;39,99;63,56;54,18
26.02.2021 18:00:56;33,12;2,09;436,65;38,69;61,85;51,82
26.02.2021 19:00:56;31,80;2,46;500,39;51,58;75,72;39,86
26.02.2021 20:00:56;39,34;4,71;719,70;81,69;128,19;16,98
