name;WKT
04 ÞEFÝKCAN ÇEVRE YOLU;POINT Z (32.46214237123492 37.88777698337127 0)
05 BAÞKENT HASTANESÝ;POINT Z (32.4572756885691 37.88413422931106 0)
06 BEYÞEHÝR ÇEVRE YOLU;POINT Z (32.45278091819474 37.88026260156288 0)
07 EVLÝYA ÇELEBÝ PARKI;POINT Z (32.45582648154078 37.86573236773015 0)
08 GAZZE CAD.;POINT Z (32.47322968847739 37.85031935446345 0)
09 A KARAMAN ÇEVRE YOLU A;POINT Z (32.51602592713149 37.82864465478983 0)
09 B KARAMAN ÇEVRE YOLU B;POINT Z (32.5167592472182 37.82887553280595 0)
10 A ADANA ÇEVRE YOLU YAVUZ SELÝM YAYA ÜST GEÇÝDÝ;POINT Z (32.52204230261064 37.83484225118108 0)
10 B ADANA ÇEVRE YOLU YAVUZ SELÝM YAYA ÜST GEÇÝDÝ;POINT Z (32.52222953798923 37.83457235983762 0)
11 AYKENT AYAKKABICILAR SAN. CAMÝÝ;POINT Z (32.53286400545669 37.92770515302121 0)
12 ÝHSANÝYE ALT GEÇÝT ÜSTÜ;POINT Z (32.48168961484907 37.87326284782279 0)
13 GAR ÝLERÝSÝ;POINT Z (32.47850326438572 37.86648549685065 0)
14 TARIM ÝL MÜD.;POINT Z (32.48033188947441 37.86276711832167 0)
15 AHMET ÖZCAN CAD ÝTFAÝYE;POINT Z (32.48850520658543 37.85274521546544 0)
16 AHMET ÖZCAN  CAD TAÞ CAMÝ KAVÞAÐI;POINT Z (32.49432449551422 37.8511235030843 0)
17 AHMET ÖZCAN CAD. KOMEK;POINT Z (32.4990622281843 37.84860895415139 0)
18 AHMET ÖZCAN CAD KARAMAN ALTIYOL;POINT Z (32.50864785537699 37.84844274254767 0)
19 FETÝH CAD. - BÜYÜKKUMKÖPRÜ CAD;POINT Z (32.51584615803286 37.85376545377438 0)
20 FETÝH CAD. - KÜÇÜK KUMKÖPRÜ CAD.;POINT Z (32.52231058153418 37.85784190185304 0)
21 MÝLLET BAHÇESÝ GÝRÝÞÝ;POINT Z (32.48331911813279 37.86710462779646 0)
22 DSÝ ÖNÜ;POINT Z (32.48479859834745 37.86725602930315 0)
23 A BALIK HALÝ;POINT Z (32.48917126165749 37.86593563722153 0)
23 B BALIK HALÝ;POINT Z (32.48989326081493 37.86589645202792 0)
24 FURKANDEDE CAD. OTOBÜS DURAÐI;POINT Z (32.49609829696954 37.86612722082808 0)
25 HAKÝMÝYET KAVÞAK KAR BEL ÖNÜ;POINT Z (32.50053155655728 37.86639805729878 0)
26 HAKÝMÝYET ÝLKOKUL ARKASI;POINT Z (32.50242732766847 37.86464975638999 0)
27 ESKÝ GARAJ GÜNEY GÝRÝÞÝ;POINT Z (32.50354281285821 37.86400069960779 0)
28 ESKÝ GARAJ KUZEY GÝRÝÞÝ;POINT Z (32.50269797041051 37.86563810924387 0)
