ID,AD,ENLEM,BOYLAM
4253,Ihsaniye Kavsagi,37.873584722255764,32.48190426587826
4254,Dedekorkut Kavsagi,37.87881927854789,32.45990532974247
4257,Karayollari 3. Bolge Mud. - Ankara Cad.,37.910033041640624,32.515835165977485
4266,Afyon - Sehir Merkezi,38.03461384598431,32.51646280288697
4265,Sehir Merkezi - S.U.,38.00062672080263,32.519890666008
4264,Sehir Merkezi - Firat Caddesi,37.990734445560626,32.518587112426765
4263,Firat Kavsagi - Turmak Kavsagi,37.966463129093256,32.51501441001893
4262,Mobilyacilar Kavsagi,37.92356701108893,32.508314251899726
4261,Uluyayla Koprusu - Mobilyacilar Kvs,37.91541222511231,32.506125569343574
4260,Uluyayla Koprusu - Aydinlik Kavsagi,37.91014520014958,32.49902307987214
4259,Sille Kavsagi - Fatih End. Mes. Lis,37.89797817964486,32.48525261878968
4275,Sille Kavsagi - Sefikcan Kavsagi,37.8903243492995,32.46585220098496
4278,Sefikcan Kvs- Fatih Kavs,37.883406430896805,32.456413507461555
4273,Akyokus - Meram Tip Fakultesi,37.874260571958395,32.42805182933808
4267,Ankara Caddesi - Aliya Izzet Begovic,37.99557929064975,32.600008249282844
4268,Havalimani - Aksaray Kavsagi,37.95673120660365,32.56007552146912
4214,KTO Tuyap,37.950496346508004,32.56057173013688
4271,Gulistan Ust Gecidi- Aksaray Kvs.,37.94453381946184,32.54726797342301
4270,Organize Sanayi - Tumosan Kvs,37.95649011262366,32.5976586341858
4211,Gulistan - Aslim Caddesi,37.92533580744048,32.563530206680305
4224,Mar-San Sanayi Sitesi,37.90175823477645,32.534709870815284
4277,Konya Eregli Caddesi - Okyar Caddesi,37.867466072676734,32.56350606679917
4276,Adana Cevreyolu Cd. - Eregli Kavsagi,37.875268365790376,32.54774808883668
4279,Karaman Caddesi - Adana Cevre Yolu,37.82761597765958,32.51679003238679
4280,Antalya Cevreyolu - Kozagac Kvs,37.80824972304887,32.427933812141426
4255,Lastik Duragi Kavsagi,37.866170197992865,32.460000962018974
4251,Karatay Muzesi Kavsagi,37.874404543349925,32.49328047037125
4252,Is Bankasi Kavsagi,37.87256676975469,32.49419778585435
4215,Konya Numune Hastanesi(Kuzey Gelis),37.99459851014722,32.49097108840943
4213,Konya Numune Hastanesi(Guney Gelis),37.98644103663155,32.485727369785316
4212,Elmali Hamdi - Beyhekim Caddesi,37.965321249305084,32.487870454788215
4274,Ayakkabicilar - Adana Kavsagi,37.916254406266226,32.519112825393684
4272,Adana Kavsagi - Mobilyacilar Kvs,37.91552649146239,32.514102458953865
4269,Belh Kavsagi - Galericiler Kavsagi,37.899971939524804,32.508877515792854
4256,Fidanlik Kavsagi,37.855234818591285,32.426914572715766
4209,Sille,37.92739229707503,32.433547675609596
4208,Dr Sadik Ahmet Cad - Anayurt Cad.,37.947996331996876,32.534535527229316
4216,Selcuk Universitesi Tip Fakultesi Hastanesi,38.01760323563644,32.51111716032029
4286,Furkandede,37.865916102245286,32.49405026435853
4281,Beysehir Kavsagi,37.87996839862165,32.452679872512824
4288,Hacikaymak Kavsagi,37.88799586915888,32.48156726360322
4282,VMS 6,37.95423563412663,32.51350432634354
4283,Otogar - Sadik Ahmet caddesi,37.948783147767934,32.51392006874085
4285,Feridiye Karakolu Kavsagi,37.86668897409034,32.48069822788239
4284,Belh Kavsagi,37.89576847184177,32.504859566688545
