BolgeAdi;BolgeAdresi;BolgeKapasite;PeronAdi;PeronAdres;peronKapasite;PeronKoordinat;PeronAcilisSaati;PeronKapanisSaati;
ALAADDÝN TEPE ÇIKIÞ OTOPARKI;ALAADDÝN TEPE ÇIKIÞ OTOPARKI;150;ALAEDDÝN TEPESÝ ÇIKIÞ;;150;[32.49200105667114, 37.870800939496455];0;2400;
BAÞARALI CAD.1 NCÝ BÖLGE;BAÞARALI CAD.1-2;30;BAÞARALI CAD.-1;BAÞARALI CAD.;15;[[32.49454915523529, 37.87179607686132], [32.494989037513726, 37.871762200065646], [32.49531090259551, 37.871673273402884]];800;1900;
BAÞARALI CAD.1 NCÝ BÖLGE;BAÞARALI CAD.1-2;30;BAÞARALI CAD.-2;BAÞARALI CAD.;15;[[32.495324313640594, 37.871688094520785], [32.49551743268967, 37.871584346632766], [32.49569445848465, 37.87152506205973], [32.49586343765259, 37.871489067831405], [32.49593585729598, 37.871491185139455]];800;1900;
ÝSTANBUL CAD.;ÝSTANBUL CAD.;33;ÝSTANBUL CAD.-2;ÝSTANBUL CAD.;18;[[32.50100791454315, 37.872774262617725], [32.500707507133484, 37.87174526166196]];800;1900;
ÝSTANBUL CAD.;ÝSTANBUL CAD.;33;ÝSTANBUL CAD.-1;ÝSTANBUL CAD;15;[[32.50123053789139, 37.87346872427551], [32.50102400779724, 37.87282507710734]];800;1900;
AKÇEÞME OTOPARKI;AKÇEÞME OTOPARKI;260;AKÇEÞME OTOPARKI;AKÇEÞME OTOPARKI;260;[32.50560790300369, 37.86857771172082];700;2300;
BAÞARALI CAD.-2 NCÝ BÖLGE;BAÞARALI CAD.2 NCÝ BÖLGE;85;BAÞARALI CAD.-3;BAÞARALI CAD.;30;[[32.49817818403244, 37.87114394580834], [32.49832570552826, 37.87075647559834], [32.49830961227417, 37.87019326389994]];800;1900;
BAÞARALI CAD.-2 NCÝ BÖLGE;BAÞARALI CAD.2 NCÝ BÖLGE;85;BAÞARALI CAD.-4;BAÞARALI CAD.;15;[[32.49823719263077, 37.87114606312629], [32.49842494726181, 37.87067389971643], [32.498416900634766, 37.87023772813792]];800;1900;
BAÞARALI CAD.-2 NCÝ BÖLGE;BAÞARALI CAD.2 NCÝ BÖLGE;85;BAÞARALI CAD.-5;BAÞARALI CAD.-5;25;[[32.498328387737274, 37.87008527921027], [32.49827742576599, 37.86913034889011]];900;1900;
BAÞARALI CAD.-2 NCÝ BÖLGE;BAÞARALI CAD.2 NCÝ BÖLGE;85;BAÞARALI CAD.-6;BAÞARALI CAD.-6;15;[[32.49814063310623, 37.86888473288214], [32.49810576438904, 37.868277041481576]];900;1900;
OSMANLI BUÐDAY PAZARI OTOPARKI;TARÝHÝ BUÐDAY PAZARI ALTI;570;OSMANLI BUÐDAY PAZARI KATLI OTOPARKI;OSMANLI BUÐDAY PAZARI ALTI;570;[32.499583661556244, 37.86821987164937];0;2400;
TIP  ACÝL ÖNÜ;TIP  ACÝL ÖNÜ;53;TIP-1;;53;[32.4287974834442, 37.8758781167085];800;1830;
ÞERAFETTÝN BÖLGE-2;ÞERAFETTÝN BÖLGE-2;45;ÞERAFETTÝN CAD.6;ÞERAFETTÝN CAD.;25;[[32.49760150909424, 37.87293094051482], [32.4970543384552, 37.87298175489635]];800;1900;
ÞERAFETTÝN BÖLGE-2;ÞERAFETTÝN BÖLGE-2;45;ÞERAFETTÝN CAD.7;ÞERAFETTÝN CAD.;20;[[32.49760150909424, 37.87293094051482], [32.4970543384552, 37.87298175489635]];800;1900;
